word1,word2,rhyme,distance,pred
solte,hotle,0,8.181944105360243,False
rebellion,scnho,0,13.992492887708876,True
fulgent,coentnor,0,15.790116098192003,True
welt,tehl,0,8.126821517944336,False
erwacht,lahtc,0,24.881616168551975,True
flug,leichenguz,0,14.536347601148817,True
steiget,zeietg,0,17.92065970102946,True
geschlacht,gemathc,0,23.022345225016277,True
zwei,ise,0,15.748168839348686,True
seyn,wine,0,7.438981109195286,False
gartenklee,aole,0,14.277121120029026,True
ruht,htut,0,8.981055312686497,False
krach,kirchendahc,0,13.82749440934923,True
riefen,schfieenl,0,14.730783038669163,True
vergünnen,sinnen,0,5.365660058127509,False
gehört,beschehrt,0,10.824049048953587,True
nicht,beschebeinr,0,20.6283417807685,True
väter,veerrtär,0,8.869590600331625,False
scheinen,niewen,0,9.893569469451904,False
gesagt,schäfmaedgr,0,12.639226277669271,True
schattenwald,schallt,0,7.7695512771606445,False
getränken,schnenkwe,0,21.54221577114529,True
gott,eogbt,0,26.926543765597874,True
geweckt,gescertchk,0,18.184763060675728,True
erhoben,beon,0,12.930562443203396,True
gewachet,gemachet,0,5.100220574273004,False
empfangen,erlgnnea,0,16.55457040998671,True
mehren,kehrne,0,13.364476415846083,True
keime,ueäbm,0,11.651158491770426,True
goldesschacht,actwh,0,22.251064936319988,True
begier,erhaebn,0,15.471049732632107,True
schwei,eis,0,21.15713946024577,True
wellenschlage,taeg,0,17.653583526611328,True
umbfangen,nachgeganneg,0,11.240466859605577,True
mori,icorh,0,14.717315567864311,True
sternenschein,seny,0,19.984392801920574,True
hat,lebenpsafd,0,13.120564142862955,True
nennen,zuerkennne,0,12.066972838507759,True
bestellet,wolgeätflel,0,9.355851968129477,False
betten,tretetn,0,5.542956060833401,False
vielen,speelin,0,6.143352561526829,False
wissen,beflissne,0,9.601479424370659,False
brod,tod,0,6.587127844492595,False
ruheglück,gehsickc,0,21.06626648373074,True
warum,rmehu,0,18.246941248575848,True
trüb,libe,0,16.625688129001194,True
wangenpaars,lockenharsa,0,10.74002562628852,True
brüste,vielgekeüt,0,21.719644122653538,True
schulden,uhdnel,0,14.10151391559177,True
zerrinnt,wnid,0,12.932969411214193,True
bitten,überschintetr,0,20.007326549953884,True
eil,piefl,0,11.31588633855184,True
wiederholen,befohlne,0,10.770282480451796,True
ziehlt,eptlis,0,15.32614623175727,True
verirren,girern,0,7.3128234015570746,False
flammen,verdamnem,0,9.488258043924967,False
griechen,geeihcwn,0,12.228014998965794,True
grundt,mdnut,0,17.874587059020996,True
gesetzt,sczähtt,0,23.957014083862305,True
gnaden,eingelaedn,0,6.0271828174591064,False
salbungslehren,röhen,0,9.301594893137613,False
anzuschaun,bnau,0,9.734901799096,False
festzustecken,entdecekn,0,9.725263171725803,False
darum,stumm,0,7.095441076490614,False
sebeln,schnäbnle,0,10.700850910610622,True
lutterberg,schger,0,13.578884813520643,True
mahl,befhla,0,12.92783498764038,True
strassen,lasens,0,13.928821881612143,True
stemme,schleemm,0,15.931733767191568,True
trunkenheit,fröhlktgeii,0,12.247592820061577,True
unsterbligkeit,schreitb,0,17.67974090576172,True
namensschein,eni,0,16.371915075514053,True
rest,vermählunsetgsf,0,16.298013157314724,True
jungefrau,rau,0,8.649052990807427,False
spielte,lfhüet,0,20.598289065890842,True
erben,renweb,0,18.629077593485516,True
unterthan,an,0,8.187643157111275,False
herzen,versczehner,0,19.848095734914143,True
armumfassen,zumirslasen,0,5.621099472045898,False
erzürnen,birnen,0,6.157428741455078,False
allein,iens,0,13.516646226247152,True
heisst,ietsrs,0,7.912712362077501,False
