reisen	besserung	0	7918.854236602783	99.0	99.0	False	True	True
drachen	lachen	1	2186.448666784498	99.0	99.0	True	True	True
throne	geschaut	0	9113.077958424887	99.0	99.0	False	True	True
verspricht	stern	0	9856.975820329455	99.0	99.0	False	True	True
könig	unterthänig	1	2849.626382191976	99.0	99.0	True	True	True
heu	haus	0	9439.047283596463	99.0	99.0	False	True	True
erklärt	stechen	0	10411.379178365072	99.0	99.0	False	True	True
rathen	staten	1	2644.6783807542593	99.0	99.0	True	True	True
vorüber	lieber	1	2973.3470810784233	99.0	99.0	True	True	True
jung	pomponia	0	9519.322819179959	99.0	99.0	False	True	True
feind	tuch	0	9368.569003211129	99.0	99.0	False	True	True
scheu	hervor	0	9414.219538370768	99.0	99.0	False	True	True
tage	erfahren	0	7192.473358578151	99.0	99.0	False	True	True
verneuet	freuet	1	2709.9005911085337	99.0	99.0	True	True	True
schein	pein	1	3132.315052880181	99.0	99.0	True	True	True
nehmen	schämen	1	3068.5207313961455	99.0	99.0	True	True	True
thron	cron	1	1895.6106768714055	99.0	99.0	True	True	True
seyn	sässen	0	8426.739374796549	99.0	99.0	False	True	True
seyn	tugendliecht	0	13096.138636271158	99.0	99.0	False	True	True
leibe	krügen	0	7150.700410207112	99.0	99.0	False	True	True
zeichen	sträuchen	1	2140.9997410244414	99.0	99.0	True	True	True
zaudern	schaudern	1	1659.6519814597234	99.0	99.0	True	True	True
bestehen	sehen	1	1958.8759342829387	99.0	99.0	True	True	True
schande	verbande	1	2942.20937622918	99.0	99.0	True	True	True
schmerzerrettern	blättern	1	3385.572565926446	99.0	99.0	True	True	True
pflücken	beseelt	0	8802.02971564399	99.0	99.0	False	True	True
erbarmen	armen	1	2682.368371221754	99.0	99.0	True	True	True
stricke	zurücke	1	2629.45916917589	99.0	99.0	True	True	True
epheükranz	glanz	1	2527.2892448637217	99.0	99.0	True	True	True
spricht	gestalten	0	13147.16943105062	99.0	99.0	False	True	True
baun	unverholen	0	5899.517271253798	99.0	99.0	False	True	True
stunden	verspürt	0	9452.443917592367	99.0	99.0	False	True	True
verführt	berührt	1	3406.2818951076933	99.0	99.0	True	True	True
wesen	verlangen	0	6059.7699748145205	99.0	99.0	False	True	True
haben	seine	0	7950.112501780192	99.0	99.0	False	True	True
gebüst	leide	0	9833.620601230197	99.0	99.0	False	True	True
todt	geboth	1	3009.816567103068	99.0	99.0	True	True	True
geistern	harmonie	0	12197.001457214355	99.0	99.0	False	True	True
wort	hinfort	1	3454.748445087009	99.0	99.0	True	True	True
ein	ein	1	0.0	99.0	99.0	True	True	True
die	gar	0	16009.355439080131	99.0	99.0	False	True	True
leyer	feyer	1	2693.983144230313	99.0	99.0	True	True	True
stimme	grimme	1	3318.525791168213	99.0	99.0	True	True	True
leben	leben	1	0.0	99.0	99.0	True	True	True
kind	schus	0	7459.764904446071	99.0	99.0	False	True	True
ein	seyn	1	4327.321900261773	99.0	99.0	True	True	True
meeresstrand	brand	1	3479.468954934014	99.0	99.0	True	True	True
kürzen	stürzen	1	2173.360824584961	99.0	99.0	True	True	True
reist	geist	1	2464.283029238383	99.0	99.0	True	True	True
gehen	matten	0	6079.266839557225	99.0	99.0	False	True	True
leer	rathen	0	11615.19612206353	99.0	99.0	False	True	True
sey	schwäntzen	0	9738.787968953451	99.0	99.0	False	True	True
du	schertzen	0	8590.517520904541	99.0	99.0	False	True	True
warum	krumm	1	3044.884999593099	99.0	99.0	True	True	True
geschmeide	leide	1	2802.117294735379	99.0	99.0	True	True	True
scheinet	langeschläfer	0	8876.620875464547	99.0	99.0	False	True	True
venus	beklaget	0	9009.260760413277	99.0	99.0	False	True	True
blut	flut	1	3386.239952511258	99.0	99.0	True	True	True
ran	kan	1	2585.74378490448	99.0	99.0	True	True	True
fraue	aue	1	3729.6174632178413	99.0	99.0	True	True	True
spazieren	hause	0	6579.678482479519	99.0	99.0	False	True	True
beygebracht	reih	0	8528.61467997233	99.0	99.0	False	True	True
besitzen	nützen	1	2837.503777609931	99.0	99.0	True	True	True
leichen	zugleichen	1	2672.596904966566	99.0	99.0	True	True	True
umpfah	ja	1	4308.21254518297	99.0	99.0	True	True	True
geschöpfe	gemeine	0	6038.925978872511	99.0	99.0	False	True	True
erscheint	weint	1	2580.906629562378	99.0	99.0	True	True	True
ruht	macht	0	11734.955893622506	99.0	99.0	False	True	True
demtone	hohne	1	2907.928970124987	99.0	99.0	True	True	True
stirbt	grufft	0	6295.304351382786	99.0	99.0	False	True	True
gesetzt	benetzt	1	3178.958455721537	99.0	99.0	True	True	True
leer	mehr	1	2419.9267095989653	99.0	99.0	True	True	True
sinnen	beginnen	1	3441.6904979281953	99.0	99.0	True	True	True
dir	seyn	0	8400.63508351644	99.0	99.0	False	True	True
jungferschafft	krafft	1	4068.031125598484	99.0	99.0	True	True	True
gestöhn	horcht	0	8765.734672546387	99.0	99.0	False	True	True
schwunge	zunge	1	3383.3839363522	99.0	99.0	True	True	True
erworben	brüste	0	12382.463455200195	99.0	99.0	False	True	True
erden	werden	1	2267.639491293165	99.0	99.0	True	True	True
aue	nacht	0	10178.599145677355	99.0	99.0	False	True	True
stehn	gründen	0	6205.228116777208	99.0	99.0	False	True	True
spührt	rührt	1	3401.507960425483	99.0	99.0	True	True	True
strafen	schlafen	1	1610.0949976179336	99.0	99.0	True	True	True
gast	an	0	7986.822949515448	99.0	99.0	False	True	True
fliegen	liegen	1	2527.2357596291436	99.0	99.0	True	True	True
bemühen	blühen	1	2539.602438608805	99.0	99.0	True	True	True
blütenblatt	hüte	0	7469.669077131483	99.0	99.0	False	True	True
kan	an	1	3349.025514390734	99.0	99.0	True	True	True
gütte	gemüte	1	2800.6030718485513	99.0	99.0	True	True	True
geld	feld	1	3038.178152508206	99.0	99.0	True	True	True
geführet	wieder	0	8480.87093565199	99.0	99.0	False	True	True
erbitten	hütten	1	3209.593481487698	99.0	99.0	True	True	True
seyn	führen	0	7138.309955596924	99.0	99.0	False	True	True
sein	bebt	0	9148.600578308105	99.0	99.0	False	True	True
